,channels,has_transaction,user_id,day,month,year,visitStartTime
0,Organic,True,541,16,9,2020,2020-09-16
1,Direct,True,72,22,11,2020,2020-11-22
2,Google Search,False,535,16,5,2020,2020-05-16
3,Organic,False,577,4,11,2020,2020-11-04
4,Google Search,False,321,9,9,2020,2020-09-09
5,Facebook,True,73,12,7,2020,2020-07-12
6,Google Search,False,651,3,5,2020,2020-05-03
7,Instagram,False,595,8,12,2020,2020-12-08
8,Organic,False,527,1,11,2020,2020-11-01
9,Google Search,False,581,9,7,2020,2020-07-09
10,Organic,False,199,19,4,2020,2020-04-19
11,Google Search,False,463,2,2,2020,2020-02-02
12,Organic,False,661,16,12,2020,2020-12-16
13,Google Search,True,508,3,12,2020,2020-12-03
14,Google Search,False,49,10,6,2020,2020-06-10
15,Google Search,True,480,10,9,2020,2020-09-10
16,Direct,True,255,15,10,2020,2020-10-15
17,Organic,True,663,12,6,2020,2020-06-12
18,Organic,True,20,19,6,2020,2020-06-19
19,Direct,False,450,9,2,2020,2020-02-09
20,Facebook,False,574,22,11,2020,2020-11-22
21,Youtube,True,286,13,12,2020,2020-12-13
22,Organic,False,527,20,2,2020,2020-02-20
23,Instagram,True,651,19,8,2020,2020-08-19
24,Facebook,False,353,17,2,2020,2020-02-17
25,Google Search,False,310,19,5,2020,2020-05-19
26,Google Display,False,75,11,11,2020,2020-11-11
27,Organic,False,355,17,1,2020,2020-01-17
28,Google Search,True,146,17,4,2020,2020-04-17
29,Direct,False,354,3,10,2020,2020-10-03
30,Direct,True,533,19,5,2020,2020-05-19
31,Direct,True,310,23,5,2020,2020-05-23
32,Google Search,True,329,13,9,2020,2020-09-13
33,Organic,False,254,10,1,2020,2020-01-10
34,Direct,False,503,4,8,2020,2020-08-04
35,Google Search,False,457,10,11,2020,2020-11-10
36,Google Search,True,82,12,12,2020,2020-12-12
37,Google Search,False,280,22,1,2020,2020-01-22
38,Facebook,False,77,2,8,2020,2020-08-02
39,Instagram,True,423,16,9,2020,2020-09-16
40,Organic,False,531,4,2,2020,2020-02-04
41,Facebook,True,88,16,10,2020,2020-10-16
42,Google Display,False,147,7,5,2020,2020-05-07
43,Google Search,True,339,22,1,2020,2020-01-22
44,Google Search,False,377,24,6,2020,2020-06-24
45,Youtube,True,676,25,10,2020,2020-10-25
46,Facebook,False,401,12,8,2020,2020-08-12
47,Facebook,False,3,20,3,2020,2020-03-20
48,Google Search,False,179,6,4,2020,2020-04-06
49,Organic,False,549,12,7,2020,2020-07-12
50,Organic,False,566,11,6,2020,2020-06-11
51,Google Search,False,87,26,6,2020,2020-06-26
52,Organic,False,690,15,6,2020,2020-06-15
53,Organic,True,371,8,1,2020,2020-01-08
54,Organic,False,73,7,12,2020,2020-12-07
55,Google Search,False,490,28,2,2020,2020-02-28
56,Google Search,False,321,20,4,2020,2020-04-20
57,Organic,False,415,21,11,2020,2020-11-21
58,Organic,True,269,19,4,2020,2020-04-19
59,Organic,False,305,19,12,2020,2020-12-19
60,Organic,True,511,8,10,2020,2020-10-08
61,Google Search,False,223,15,2,2020,2020-02-15
62,Facebook,False,221,28,5,2020,2020-05-28
63,Facebook,False,544,6,12,2020,2020-12-06
64,Organic,False,105,15,1,2020,2020-01-15
65,Google Search,False,682,11,4,2020,2020-04-11
66,Facebook,False,269,24,8,2020,2020-08-24
67,Organic,True,27,18,8,2020,2020-08-18
68,Organic,False,299,19,1,2020,2020-01-19
69,Google Search,True,523,6,6,2020,2020-06-06
70,Direct,False,38,3,8,2020,2020-08-03
71,Direct,False,252,6,4,2020,2020-04-06
72,Organic,False,685,23,2,2020,2020-02-23
73,Organic,True,83,27,5,2020,2020-05-27
74,Organic,True,372,9,8,2020,2020-08-09
75,Email Marketing,False,33,11,6,2020,2020-06-11
76,Organic,True,68,19,6,2020,2020-06-19
77,Direct,False,621,23,10,2020,2020-10-23
78,Direct,True,673,4,11,2020,2020-11-04
79,Organic,True,73,28,10,2020,2020-10-28
80,Direct,True,557,26,8,2020,2020-08-26
81,Organic,True,427,12,1,2020,2020-01-12
82,Direct,True,539,8,12,2020,2020-12-08
83,Facebook,False,414,4,4,2020,2020-04-04
84,Direct,True,39,2,3,2020,2020-03-02
85,Organic,False,616,5,8,2020,2020-08-05
86,Organic,True,28,18,5,2020,2020-05-18
87,Youtube,False,686,21,3,2020,2020-03-21
88,Email Marketing,True,25,13,5,2020,2020-05-13
89,Youtube,True,343,8,6,2020,2020-06-08
90,Organic,False,617,6,12,2020,2020-12-06
91,Direct,True,245,21,8,2020,2020-08-21
92,Google Search,False,361,14,7,2020,2020-07-14
93,Facebook,False,690,21,12,2020,2020-12-21
94,Google Search,True,648,11,4,2020,2020-04-11
95,Organic,False,270,2,11,2020,2020-11-02
96,Youtube,False,113,28,8,2020,2020-08-28
97,Facebook,False,54,26,10,2020,2020-10-26
98,Direct,True,314,21,11,2020,2020-11-21
99,Facebook,False,620,1,10,2020,2020-10-01
100,Organic,False,412,28,10,2020,2020-10-28
101,Instagram,True,511,6,10,2020,2020-10-06
102,Organic,True,330,8,4,2020,2020-04-08
103,Google Search,True,594,14,3,2020,2020-03-14
104,Facebook,False,582,3,12,2020,2020-12-03
105,Google Search,False,179,25,1,2020,2020-01-25
106,Direct,False,360,5,2,2020,2020-02-05
107,Organic,False,159,24,6,2020,2020-06-24
108,Organic,True,667,5,10,2020,2020-10-05
109,Email Marketing,True,342,11,12,2020,2020-12-11
110,Google Search,False,241,18,5,2020,2020-05-18
111,Organic,False,129,22,10,2020,2020-10-22
112,Instagram,False,39,12,7,2020,2020-07-12
113,Google Search,True,148,23,2,2020,2020-02-23
114,Organic,False,122,4,3,2020,2020-03-04
115,Direct,True,459,15,6,2020,2020-06-15
116,Facebook,False,639,26,3,2020,2020-03-26
117,Facebook,False,459,14,4,2020,2020-04-14
118,Facebook,False,602,18,8,2020,2020-08-18
119,Direct,True,594,1,9,2020,2020-09-01
120,Organic,False,531,4,5,2020,2020-05-04
121,Google Search,True,368,12,9,2020,2020-09-12
122,Google Search,True,95,3,2,2020,2020-02-03
123,Google Search,True,264,19,5,2020,2020-05-19
124,Organic,False,467,13,11,2020,2020-11-13
125,Google Search,False,494,17,7,2020,2020-07-17
126,Google Search,True,428,17,7,2020,2020-07-17
127,Direct,False,645,10,2,2020,2020-02-10
128,Email Marketing,False,33,6,12,2020,2020-12-06
129,Google Search,False,185,26,3,2020,2020-03-26
130,Facebook,True,311,11,11,2020,2020-11-11
131,Facebook,True,160,10,8,2020,2020-08-10
132,Direct,False,214,15,7,2020,2020-07-15
133,Organic,False,375,18,2,2020,2020-02-18
134,Organic,False,154,20,10,2020,2020-10-20
135,Google Search,False,612,10,9,2020,2020-09-10
136,Facebook,False,292,22,11,2020,2020-11-22
137,Google Search,False,214,14,5,2020,2020-05-14
138,Google Display,False,462,22,5,2020,2020-05-22
139,Facebook,False,56,3,9,2020,2020-09-03
140,Facebook,False,260,1,10,2020,2020-10-01
141,Google Display,False,377,10,5,2020,2020-05-10
142,Organic,True,327,3,1,2020,2020-01-03
143,Direct,False,457,28,6,2020,2020-06-28
144,Google Search,False,104,4,7,2020,2020-07-04
145,Organic,False,577,12,1,2020,2020-01-12
146,Organic,True,227,8,5,2020,2020-05-08
147,Organic,False,171,17,1,2020,2020-01-17
148,Direct,False,239,8,12,2020,2020-12-08
149,Organic,True,655,20,9,2020,2020-09-20
150,Organic,True,216,17,7,2020,2020-07-17
151,Google Search,True,528,12,6,2020,2020-06-12
152,Google Search,False,392,27,2,2020,2020-02-27
153,Organic,False,290,18,6,2020,2020-06-18
154,Facebook,True,104,27,12,2020,2020-12-27
155,Organic,False,339,17,3,2020,2020-03-17
156,Google Display,False,191,22,8,2020,2020-08-22
157,Organic,False,372,5,6,2020,2020-06-05
158,Organic,False,668,1,8,2020,2020-08-01
